transaction_id,transaction_date,transaction_time,sales_outlet_id,staff_id,customer_id,instore_yn,order,line_item_id,product_id,quantity,line_item_amount,unit_price,promo_item_yn,
7,01-04-19,12:04:43,3,12,558,N,1,1,52,1,2.5,2.5,N,2.5
11,01-04-19,15:54:39,3,17,781,N,1,1,27,2,7,3.5,N,7
19,01-04-19,14:34:59,3,17,788,Y,1,1,46,2,5,2.5,N,5
32,01-04-19,16:06:04,3,12,683,N,1,1,23,2,5,2.5,N,5
33,01-04-19,19:18:37,3,17,99,Y,1,1,34,1,2.45,2.45,N,2.45
39,01-04-19,18:54:46,3,17,664,Y,1,1,32,1,3,3,N,3
50,01-04-19,13:03:49,3,12,316,N,1,1,49,2,6,3,N,6
53,01-04-19,11:21:14,3,12,38,N,1,1,60,1,3.75,3.75,N,3.75
59,01-04-19,19:30:55,3,12,370,Y,1,1,51,2,6,3,N,6
62,01-04-19,12:01:00,3,12,180,Y,1,1,49,2,6,3,N,6
81,01-04-19,13:20:51,3,12,35,Y,1,1,35,2,6.2,3.1,N,6.2
90,01-04-19,11:40:20,3,17,595,N,1,1,47,1,3,3,N,3
91,01-04-19,12:27:43,3,12,500,N,1,1,25,2,4.4,2.2,N,4.4
94,01-04-19,17:37:02,3,17,128,Y,1,1,23,2,5,2.5,N,5
101,01-04-19,12:26:34,3,17,599,Y,1,1,48,2,5,2.5,N,5
103,01-04-19,14:33:32,3,17,152,Y,1,1,53,2,6,3,N,6
108,01-04-19,16:11:18,3,17,65,N,1,1,40,1,3.75,3.75,N,3.75
112,01-04-19,13:03:38,3,12,90,Y,1,1,37,2,6,3,N,6
117,01-04-19,18:25:04,3,12,82,Y,1,1,60,1,3.75,3.75,N,3.75
120,01-04-19,15:51:44,3,12,174,N,1,1,53,2,6,3,N,6
127,01-04-19,13:58:40,3,12,116,N,1,1,41,2,8.5,4.25,N,8.5
134,01-04-19,11:49:29,3,17,189,Y,1,1,38,2,7.5,3.75,N,7.5
135,01-04-19,17:01:36,3,17,131,Y,1,1,40,1,3.75,3.75,N,3.75
137,01-04-19,11:10:04,3,17,264,Y,1,1,40,1,3.75,3.75,N,3.75
138,01-04-19,13:17:42,3,17,722,Y,1,1,38,1,3.75,3.75,N,3.75
141,01-04-19,14:07:25,3,17,302,Y,1,1,50,1,2.5,2.5,N,2.5
143,01-04-19,13:17:00,3,12,174,Y,1,1,59,2,9,4.5,N,9
150,01-04-19,12:24:53,3,17,604,Y,1,1,28,1,2,2,N,2
156,01-04-19,12:30:00,3,17,32,N,1,1,34,1,2.45,2.45,N,2.45
156,01-04-19,12:30:00,3,17,32,N,1,5,77,1,3,3,N,3
162,01-04-19,19:07:40,3,17,470,N,1,1,55,1,4,4,N,4
165,01-04-19,16:44:46,3,12,127,Y,1,1,54,2,5,2.5,N,5
175,01-04-19,19:54:12,3,17,553,Y,1,1,47,1,3,3,N,3
180,01-04-19,17:52:36,3,17,518,Y,1,1,45,2,6,3,N,6
199,01-04-19,14:24:55,3,12,112,Y,1,1,41,2,8.5,4.25,N,8.5
199,01-04-19,14:24:55,3,12,112,Y,1,5,79,1,3.75,3.75,N,3.75
202,01-04-19,17:26:58,3,17,437,N,1,1,37,2,6,3,N,6
212,01-04-19,17:03:21,3,17,552,N,1,1,50,1,2.5,2.5,N,2.5
219,01-04-19,15:03:55,3,12,194,Y,1,1,43,1,3,3,N,3
224,01-04-19,14:54:27,3,17,788,N,1,1,38,2,7.5,3.75,N,7.5
226,01-04-19,16:30:12,3,12,533,Y,1,1,40,1,3.75,3.75,N,3.75
227,01-04-19,12:09:11,3,17,521,N,1,1,28,2,4,2,N,4
238,01-04-19,15:48:10,3,17,512,Y,1,1,41,1,4.25,4.25,N,4.25
247,01-04-19,19:04:32,3,17,178,Y,1,1,23,1,2.5,2.5,N,2.5
248,01-04-19,14:30:49,3,12,416,Y,1,1,32,2,6,3,N,6
249,01-04-19,11:15:38,3,12,22,Y,1,1,52,1,2.5,2.5,N,2.5
260,01-04-19,18:14:31,3,12,642,Y,1,1,61,2,9.5,4.75,N,9.5
262,01-04-19,11:52:08,3,12,189,N,1,1,58,1,3.5,3.5,N,3.5
268,01-04-19,16:04:10,3,17,223,N,1,1,42,2,5,2.5,N,5
269,01-04-19,19:25:00,3,12,40,Y,1,1,53,1,3,3,N,3
270,01-04-19,11:27:00,3,17,344,N,1,1,49,1,3,3,N,3
276,01-04-19,16:10:37,3,12,401,N,1,1,42,2,5,2.5,N,5
281,01-04-19,11:27:06,3,12,189,N,1,1,31,2,4.4,2.2,N,4.4
290,01-04-19,14:58:35,3,12,517,N,1,1,43,1,3,3,N,3
296,01-04-19,14:49:18,3,17,328,Y,1,1,39,1,4.25,4.25,N,4.25
296,01-04-19,14:49:18,3,17,328,Y,1,5,79,1,3.75,3.75,N,3.75
297,01-04-19,12:05:26,3,12,331,N,1,1,48,2,5,2.5,N,5
298,01-04-19,18:30:05,3,17,414,N,1,1,55,2,8,4,N,8
317,01-04-19,19:57:08,3,12,567,N,1,1,48,1,2.5,2.5,N,2.5
325,01-04-19,19:23:13,3,12,526,N,1,1,22,2,4,2,N,4
326,01-04-19,12:05:31,3,12,659,N,1,1,52,2,5,2.5,N,5
334,01-04-19,18:12:37,3,17,492,N,1,1,25,2,4.4,2.2,N,4.4
337,01-04-19,18:14:17,3,17,655,Y,1,1,39,2,8.5,4.25,N,8.5
344,01-04-19,17:28:16,3,12,500,Y,1,1,41,1,4.25,4.25,N,4.25
357,01-04-19,15:34:10,3,12,530,N,1,1,41,2,8.5,4.25,N,8.5
357,01-04-19,15:34:10,3,12,530,N,1,5,76,1,3.5,3.5,N,3.5
360,01-04-19,15:30:57,3,17,114,Y,1,1,38,2,7.5,3.75,N,7.5
366,01-04-19,18:33:47,3,17,301,N,1,1,51,1,3,3,N,3
384,01-04-19,16:04:18,3,17,602,Y,1,1,54,2,5,2.5,N,5
385,01-04-19,11:32:46,3,12,565,Y,1,1,31,2,4.4,2.2,N,4.4
389,01-04-19,17:00:27,3,12,335,Y,1,1,29,1,2.5,2.5,N,2.5
390,01-04-19,12:20:37,3,12,52,Y,1,1,25,1,2.2,2.2,N,2.2
391,01-04-19,18:05:52,3,12,216,N,1,1,33,2,7,3.5,N,7
391,01-04-19,18:05:52,3,12,216,N,1,5,79,1,3.75,3.75,N,3.75
396,01-04-19,14:45:31,3,17,550,Y,1,1,47,1,3,3,N,3
405,01-04-19,19:31:31,3,17,481,N,1,1,26,2,6,3,N,6
411,01-04-19,12:23:27,3,12,516,N,1,1,22,2,4,2,N,4
413,01-04-19,16:03:50,3,17,508,N,1,1,31,1,2.2,2.2,N,2.2
413,01-04-19,16:03:50,3,17,508,N,1,5,76,1,3.5,3.5,N,3.5
421,01-04-19,19:52:28,3,17,717,N,1,1,34,2,4.9,2.45,N,4.9
422,01-04-19,14:14:08,3,17,641,Y,1,1,26,1,3,3,N,3
426,01-04-19,15:45:16,3,17,525,N,1,1,46,2,5,2.5,N,5
427,01-04-19,19:03:00,3,12,384,Y,1,1,22,1,2,2,N,2
429,01-04-19,12:56:59,3,17,784,Y,1,1,47,1,3,3,N,3
434,01-04-19,17:26:52,3,12,383,N,1,1,26,2,6,3,N,6
446,01-04-19,12:15:02,3,12,659,Y,1,1,50,2,5,2.5,N,5
447,01-04-19,14:51:44,3,17,235,Y,1,1,30,1,3,3,N,3
451,01-04-19,12:55:25,3,12,319,Y,1,1,49,1,3,3,N,3
457,01-04-19,16:17:06,3,12,647,N,1,1,34,2,4.9,2.45,N,4.9
459,01-04-19,18:09:04,3,17,320,Y,1,1,35,1,3.1,3.1,N,3.1
461,01-04-19,17:54:11,3,17,326,Y,1,1,56,2,5.1,2.55,N,5.1
470,01-04-19,18:38:00,3,12,122,Y,1,1,41,1,4.25,4.25,N,4.25
474,01-04-19,18:13:09,3,12,453,Y,1,1,59,1,4.5,4.5,N,4.5
480,01-04-19,16:37:34,3,17,185,N,1,1,26,2,6,3,N,6
483,01-04-19,19:15:15,3,12,393,N,1,1,55,1,4,4,N,4
490,01-04-19,16:24:40,3,12,392,Y,1,1,47,2,6,3,N,6
490,01-04-19,16:24:40,3,12,392,Y,1,5,74,1,3.5,3.5,N,3.5
494,01-04-19,18:25:42,3,12,241,N,1,1,35,1,3.1,3.1,N,3.1
495,01-04-19,18:51:23,3,17,777,N,1,1,24,2,6,3,N,6
497,01-04-19,16:49:38,3,12,407,Y,1,1,52,1,2.5,2.5,N,2.5
501,01-04-19,16:16:43,3,17,659,N,1,1,39,1,4.25,4.25,N,4.25
510,01-04-19,15:15:17,3,12,288,Y,1,1,35,2,6.2,3.1,N,6.2
510,01-04-19,15:15:17,3,12,288,Y,1,5,79,1,3.75,3.75,N,3.75
511,01-04-19,18:07:54,3,12,15,N,1,1,26,2,6,3,N,6
513,01-04-19,11:08:11,3,17,486,Y,1,1,59,1,4.5,4.5,N,4.5
516,01-04-19,16:02:33,3,12,206,Y,1,1,43,2,6,3,N,6
516,01-04-19,16:02:33,3,12,206,Y,1,5,71,1,3.75,3.75,N,3.75
523,01-04-19,14:00:44,3,17,315,N,1,1,25,1,2.2,2.2,N,2.2
528,01-04-19,17:12:46,3,17,197,Y,1,1,55,2,8,4,N,8
529,01-04-19,19:49:37,3,12,329,N,1,1,36,1,3.75,3.75,N,3.75
530,01-04-19,19:28:35,3,17,184,Y,1,1,55,1,4,4,N,4
534,01-04-19,18:52:34,3,17,474,N,1,1,22,1,2,2,N,2
537,01-04-19,12:18:27,3,17,706,Y,1,1,38,1,3.75,3.75,N,3.75
539,01-04-19,17:18:36,3,17,384,Y,1,1,29,1,2.5,2.5,N,2.5
541,01-04-19,19:17:34,3,12,537,Y,1,1,52,2,5,2.5,N,5
546,01-04-19,18:49:48,3,17,128,N,1,1,27,1,3.5,3.5,N,3.5
550,01-04-19,11:12:39,3,17,349,Y,1,1,22,2,4,2,N,4
554,01-04-19,17:11:09,3,17,245,N,1,1,25,1,2.2,2.2,N,2.2
555,01-04-19,18:23:47,3,17,244,N,1,1,32,2,6,3,N,6
558,01-04-19,13:44:48,3,12,65,Y,1,1,56,1,2.55,2.55,N,2.55
562,01-04-19,13:03:13,3,12,616,N,1,1,43,2,6,3,N,6
565,01-04-19,11:45:11,3,12,284,N,1,1,51,2,6,3,N,6
566,01-04-19,12:20:16,3,17,384,Y,1,1,60,2,7.5,3.75,N,7.5
575,01-04-19,17:41:55,3,17,269,N,1,1,55,2,8,4,N,8
575,01-04-19,17:41:55,3,17,269,N,1,5,71,1,3.75,3.75,N,3.75
580,01-04-19,11:15:17,3,17,736,N,1,1,54,2,5,2.5,N,5
585,01-04-19,17:58:05,3,17,385,N,1,1,52,2,5,2.5,N,5
586,01-04-19,15:14:19,3,12,25,Y,1,1,26,2,6,3,N,6
588,01-04-19,12:45:52,3,17,200,Y,1,1,28,2,4,2,N,4
590,01-04-19,16:39:24,3,17,450,Y,1,1,36,1,3.75,3.75,N,3.75
591,01-04-19,16:32:46,3,17,644,N,1,1,51,2,6,3,N,6
593,01-04-19,18:18:10,3,17,482,N,1,1,59,1,4.5,4.5,N,4.5
599,01-04-19,12:58:29,3,12,83,N,1,1,41,1,4.25,4.25,N,4.25
601,01-04-19,11:47:57,3,17,199,N,1,1,23,1,2.5,2.5,N,2.5
601,01-04-19,11:47:57,3,17,199,N,1,5,69,1,3.25,3.25,N,3.25
602,01-04-19,16:22:38,3,12,425,N,1,1,22,1,2,2,N,2
610,01-04-19,15:30:16,3,12,222,Y,1,1,43,1,3,3,N,3
611,01-04-19,11:17:40,3,17,776,N,1,1,51,2,6,3,N,6
616,01-04-19,11:30:18,3,12,190,N,1,1,30,2,6,3,N,6
625,01-04-19,18:34:46,3,12,729,Y,1,1,25,2,4.4,2.2,N,4.4
625,01-04-19,18:34:46,3,12,729,Y,1,5,77,1,3,3,N,3
641,01-04-19,16:48:51,3,12,749,Y,1,1,59,1,4.5,4.5,N,4.5
646,01-04-19,18:16:21,3,12,281,Y,1,1,54,2,5,2.5,N,5
660,01-04-19,19:58:29,3,17,362,Y,1,1,55,1,4,4,N,4
675,01-04-19,15:29:24,3,17,271,Y,1,1,57,1,3.1,3.1,N,3.1
675,01-04-19,15:29:24,3,17,271,Y,1,5,70,1,3.25,3.25,N,3.25
676,01-04-19,11:09:01,3,12,289,N,1,1,59,1,4.5,4.5,N,4.5
677,01-04-19,14:01:57,3,12,124,Y,1,1,36,2,7.5,3.75,N,7.5
684,01-04-19,11:57:17,3,12,693,Y,1,1,37,2,6,3,N,6
691,01-04-19,17:39:57,3,12,602,N,1,1,25,1,2.2,2.2,N,2.2
691,01-04-19,17:39:57,3,12,602,N,1,5,77,1,3,3,N,3
693,01-04-19,18:13:19,3,17,376,Y,1,1,60,2,7.5,3.75,N,7.5
694,01-04-19,14:19:10,3,12,251,Y,1,1,60,1,3.75,3.75,N,3.75
703,01-04-19,13:21:23,3,17,459,N,1,1,38,2,7.5,3.75,N,7.5
709,01-04-19,12:30:46,3,17,120,N,1,1,44,2,5,2.5,N,5
711,01-04-19,18:34:56,3,12,136,N,1,1,60,2,7.5,3.75,N,7.5
724,01-04-19,13:05:56,3,17,596,Y,1,1,58,1,3.5,3.5,N,3.5
725,01-04-19,19:25:42,3,17,393,N,1,1,55,1,4,4,N,4
728,01-04-19,16:31:22,3,17,126,N,1,1,51,2,6,3,N,6
737,01-04-19,15:01:21,3,12,162,N,1,1,34,2,4.9,2.45,N,4.9
739,01-04-19,12:46:22,3,17,230,Y,1,1,56,1,2.55,2.55,N,2.55
755,01-04-19,18:43:42,3,12,290,Y,1,1,25,1,2.2,2.2,N,2.2
766,01-04-19,15:09:37,3,12,119,Y,1,1,22,1,2,2,N,2
770,01-04-19,17:22:29,3,17,332,N,1,1,58,2,7,3.5,N,7
771,01-04-19,16:38:05,3,12,138,Y,1,1,35,1,3.1,3.1,N,3.1
777,01-04-19,14:35:47,3,17,361,N,1,1,55,1,4,4,N,4
778,01-04-19,15:10:55,3,17,488,N,1,1,42,1,2.5,2.5,N,2.5
780,01-04-19,14:05:30,3,12,222,Y,1,1,60,1,3.75,3.75,N,3.75
782,01-04-19,18:00:34,3,17,141,Y,1,1,53,1,3,3,N,3
789,01-04-19,18:31:25,3,12,505,N,1,1,41,2,8.5,4.25,N,8.5
790,01-04-19,12:42:26,3,17,139,Y,1,1,53,1,3,3,N,3
793,01-04-19,13:09:20,3,17,473,N,1,1,26,1,3,3,N,3
798,01-04-19,19:29:01,3,17,329,Y,1,1,44,2,5,2.5,N,5
803,01-04-19,11:26:24,3,17,600,N,1,1,49,2,6,3,N,6
807,01-04-19,16:47:11,3,17,796,N,1,1,26,2,6,3,N,6
809,01-04-19,16:51:18,3,12,52,N,1,1,37,2,6,3,N,6
810,01-04-19,18:51:41,3,17,702,Y,1,1,28,1,2,2,N,2
820,01-04-19,19:21:29,3,12,466,N,1,1,51,1,3,3,N,3
820,01-04-19,19:21:29,3,12,466,N,1,5,74,1,3.5,3.5,N,3.5
823,01-04-19,19:32:22,3,17,24,Y,1,1,47,1,3,3,N,3
828,01-04-19,11:14:07,3,12,456,Y,1,1,52,1,2.5,2.5,N,2.5
831,01-04-19,19:38:46,3,12,406,N,1,1,55,2,8,4,N,8
855,01-04-19,15:12:22,3,12,637,N,1,1,24,1,3,3,N,3
859,01-04-19,17:44:28,3,12,209,Y,1,1,27,2,7,3.5,N,7
859,01-04-19,17:44:28,3,12,209,Y,1,5,74,1,3.5,3.5,N,3.5
861,01-04-19,13:09:03,3,17,438,Y,1,1,35,1,3.1,3.1,N,3.1
869,01-04-19,16:42:12,3,17,536,Y,1,1,36,2,7.5,3.75,N,7.5
873,01-04-19,19:07:26,3,17,550,Y,1,1,46,1,2.5,2.5,N,2.5
873,01-04-19,19:07:26,3,17,550,Y,1,5,78,1,4.5,4.5,N,4.5
889,01-04-19,16:58:31,3,12,548,N,1,1,45,2,6,3,N,6
889,01-04-19,16:58:31,3,12,548,N,1,5,70,1,3.25,3.25,N,3.25
891,01-04-19,12:12:21,3,17,662,Y,1,1,34,2,4.9,2.45,N,4.9
891,01-04-19,12:12:21,3,17,662,Y,1,5,71,1,3.75,3.75,N,3.75
901,01-04-19,15:09:38,3,12,341,Y,1,1,29,1,2.5,2.5,N,2.5
901,01-04-19,15:09:38,3,12,341,Y,1,5,71,1,3.75,3.75,N,3.75
902,01-04-19,13:23:54,3,17,685,N,1,1,58,2,7,3.5,N,7
917,01-04-19,19:10:16,3,12,631,Y,1,1,27,2,7,3.5,N,7
919,01-04-19,19:06:41,3,17,675,N,1,1,54,1,2.5,2.5,N,2.5
921,01-04-19,11:44:31,3,12,773,N,1,1,56,1,2.55,2.55,N,2.55
923,01-04-19,13:44:26,3,17,740,N,1,1,57,1,3.1,3.1,N,3.1
924,01-04-19,12:58:53,3,17,743,N,1,1,57,2,6.2,3.1,N,6.2
932,01-04-19,15:55:09,3,12,296,N,1,1,44,2,5,2.5,N,5
944,01-04-19,19:25:57,3,17,63,Y,1,1,50,2,5,2.5,N,5
944,01-04-19,19:25:57,3,17,63,Y,1,5,69,1,3.25,3.25,N,3.25
946,01-04-19,12:04:37,3,17,563,N,1,1,47,2,6,3,N,6
948,01-04-19,16:18:56,3,17,424,N,1,1,61,1,4.75,4.75,N,4.75
960,01-04-19,14:07:56,3,12,382,Y,1,1,23,1,2.5,2.5,N,2.5
964,01-04-19,12:33:20,3,12,608,Y,1,1,54,2,5,2.5,N,5
968,01-04-19,18:22:07,3,17,497,Y,1,1,53,1,3,3,N,3
969,01-04-19,15:19:19,3,17,313,N,1,1,43,1,3,3,N,3
984,01-04-19,15:17:06,3,12,81,N,1,1,53,1,3,3,N,3
988,01-04-19,16:58:33,3,12,384,Y,1,1,37,1,3,3,N,3
993,01-04-19,13:42:10,3,12,398,N,1,1,43,1,3,3,N,3
